Segment,Keywords
1,"english, going, want, time, things"
2,"don, want, think, time, things"
3,"want, time, think, things, talk"
4,"going, want, time, really, things"
5,"want, time, think, things, talk"
6,"want, time, think, things, talk"
7,"want, time, think, things, talk"
8,"going, want, think, time, things"
9,"time, lot, think, want, things"
10,"want, time, think, things, talk"
11,"want, time, think, things, talk"
12,"want, time, think, things, talk"
13,"time, people, think, want, things"
14,"want, time, think, things, talk"
15,"time, english, going, just, things"
16,"time, lot, want, don, things"
17,"time, lot, think, want, things"
18,"time, different, say, lot, don"
19,"english, going, good, right, things"
20,"want, time, think, things, talk"
21,"want, time, think, things, talk"
22,"want, time, think, things, talk"
23,"want, time, think, things, talk"
24,"want, time, think, things, talk"
25,"want, time, think, things, talk"
26,"english, good, going, things, lot"
27,"want, time, think, things, talk"
28,"good, things, lot, want, think"
29,"want, don, think, time, things"
30,"want, time, think, things, talk"
31,"want, time, think, things, talk"
32,"lot, people, want, time, things"
33,"english, going, want, time, things"
34,"people, good, like, want, things"
35,"going, time, think, want, things"
36,"know, don, just, want, things"
37,"want, time, think, things, talk"
38,"english, going, want, time, things"
39,"want, time, think, things, talk"
40,"think, different, time, want, things"
41,"time, like, think, want, things"
42,"lot, things, want, don, think"
43,"good, lot, time, going, things"
44,"going, know, don, want, things"
45,"english, going, want, time, things"
46,"really, want, think, time, things"
47,"want, time, think, things, talk"
48,"want, time, think, things, talk"
49,"want, time, think, things, talk"
50,"want, time, think, things, talk"
51,"want, time, think, things, talk"
52,"want, time, think, things, talk"
53,"lot, don, like, want, things"
54,"want, time, think, things, talk"
55,"want, time, think, things, talk"
56,"want, time, think, things, talk"
57,"want, time, think, things, talk"
58,"want, time, think, things, talk"
59,"english, going, want, time, things"
60,"want, time, think, things, talk"
61,"want, time, think, things, talk"
62,"say, know, want, time, things"
63,"want, time, think, things, talk"
64,"want, time, think, things, talk"
65,"want, time, think, things, talk"
66,"say, time, like, want, things"
67,"time, like, think, want, things"
68,"want, time, think, things, talk"
69,"want, time, think, things, talk"
70,"like, want, think, time, things"
71,"want, time, think, things, talk"
72,"want, time, think, things, talk"
73,"want, time, think, things, talk"
74,"want, time, think, things, talk"
75,"want, time, think, things, talk"
76,"want, time, think, things, talk"
77,"want, time, think, things, talk"
78,"english, going, want, time, things"
79,"want, time, think, things, talk"
80,"lot, don, like, want, things"
81,"want, time, think, things, talk"
82,"want, time, think, things, talk"
83,"want, time, think, things, talk"
84,"want, time, think, things, talk"
85,"like, want, think, time, things"
86,"really, want, think, time, things"
87,"want, time, think, things, talk"
88,"want, time, think, things, talk"
89,"want, time, think, things, talk"
90,"want, time, think, things, talk"
91,"want, time, think, things, talk"
92,"want, time, think, things, talk"
93,"want, time, think, things, talk"
94,"want, time, think, things, talk"
95,"want, time, think, things, talk"
96,"want, time, think, things, talk"
97,"want, time, think, things, talk"
98,"want, time, think, things, talk"
99,"want, time, think, things, talk"
100,"want, time, think, things, talk"
101,"want, time, think, things, talk"
102,"want, time, think, things, talk"
103,"want, time, think, things, talk"
104,"want, time, think, things, talk"
105,"lot, want, think, time, things"
106,"want, time, think, things, talk"
107,"want, time, think, things, talk"
108,"going, want, think, time, things"
109,"know, don, want, time, things"
110,"want, time, think, things, talk"
111,"want, time, think, things, talk"
112,"want, time, think, things, talk"
113,"want, time, think, things, talk"
114,"lot, don, like, want, things"
115,"want, time, think, things, talk"
116,"want, time, think, things, talk"
117,"like, want, think, time, things"
118,"want, time, think, things, talk"
119,"want, time, think, things, talk"
120,"really, want, think, time, things"
121,"want, time, think, things, talk"
122,"want, time, think, things, talk"
123,"want, time, think, things, talk"
124,"want, time, think, things, talk"
125,"say, going, really, like, things"
126,"want, time, think, things, talk"
127,"english, don, want, time, things"
128,"don, know, want, time, things"
129,"want, time, think, things, talk"
130,"want, time, think, things, talk"
131,"language, english, want, time, things"
132,"think, want, time, things, talk"
133,"english, don, people, want, things"
134,"lot, don, like, want, things"
135,"want, time, think, things, talk"
136,"things, lot, time, want, think"
137,"like, want, think, time, things"
138,"don, want, think, time, things"
139,"want, time, think, things, talk"
140,"want, time, think, things, talk"
141,"want, time, think, things, talk"
142,"don, want, think, time, things"
143,"want, time, think, things, talk"
144,"want, time, think, things, talk"
145,"want, time, think, things, talk"
146,"want, time, think, things, talk"
147,"lot, time, people, don, things"
148,"time, think, want, things, talk"
149,"going, know, lot, want, things"
150,"going, think, like, want, things"
151,"like, want, think, time, things"
152,"like, don, want, lot, really"
153,"like, don, good, want, lot"
154,"lot, want, think, time, things"
155,"want, time, think, things, talk"
156,"want, time, think, things, talk"
157,"lot, want, think, time, things"
158,"want, time, think, things, talk"
159,"want, people, like, things, lot"
160,"english, going, language, know, lot"
161,"want, time, think, things, talk"
162,"english, don, think, lot, people"
163,"english, people, lot, language, good"
164,"english, just, want, time, things"
165,"english, like, want, time, things"
166,"english, don, like, want, things"
167,"english, listening, talk, say, just"
168,"english, think, going, people, things"
169,"want, time, think, things, talk"
170,"want, time, think, things, talk"
171,"lot, people, think, want, things"
172,"people, think, don, english, know"
173,"think, time, going, really, don"
174,"people, want, think, time, things"
175,"think, lot, people, different, going"
176,"think, people, lot, really, don"
177,"want, time, think, things, talk"
178,"think, don, people, want, things"
179,"going, like, don, listening, english"
180,"want, time, think, things, talk"
181,"lot, think, time, want, things"
182,"want, time, think, things, talk"
183,"lot, like, going, know, listening"
184,"lot, time, just, want, things"
185,"want, time, think, things, talk"
186,"going, time, just, good, really"
187,"want, time, think, things, talk"
188,"think, people, going, lot, good"
189,"time, good, lot, just, like"
190,"time, people, think, want, things"
191,"want, time, think, things, talk"
192,"going, things, want, think, like"
193,"lot, time, think, things, don"
194,"really, think, like, want, things"
195,"time, want, think, things, talk"
196,"think, want, time, things, talk"
197,"want, time, think, things, talk"
198,"think, want, time, things, talk"
199,"think, time, don, just, things"
200,"just, want, think, time, things"
201,"think, good, want, don, things"
202,"going, don, people, like, things"
203,"like, people, want, time, things"
204,"different, want, think, time, things"
205,"want, time, think, things, talk"
206,"want, people, think, time, things"
207,"want, don, like, lot, people"
208,"want, time, think, things, talk"
209,"want, people, think, time, things"
210,"like, want, think, time, things"
211,"like, want, think, time, things"
212,"want, time, think, things, talk"
213,"like, good, going, want, don"
214,"things, don, like, want, think"
215,"going, want, think, time, things"
216,"like, going, lot, don, different"
217,"people, like, different, time, don"
218,"good, going, people, want, things"
219,"don, like, different, lot, really"
220,"want, time, think, things, talk"
221,"want, time, think, things, talk"
222,"different, know, want, time, things"
223,"want, time, think, things, talk"
224,"people, good, english, time, don"
225,"like, lot, people, want, things"
226,"lot, people, want, time, things"
227,"time, talk, going, don, think"
228,"just, think, time, want, things"
229,"want, time, think, things, talk"
230,"english, want, think, time, things"
231,"think, going, don, like, things"
232,"want, time, think, things, talk"
233,"think, don, like, want, things"
234,"going, think, really, don, just"
235,"think, want, time, things, talk"
236,"things, don, just, want, time"
237,"want, time, think, things, talk"
238,"really, think, time, want, things"
239,"going, know, just, want, really"
240,"lot, time, people, like, language"
241,"want, different, time, don, people"
242,"know, lot, don, people, like"
243,"want, time, think, things, talk"
244,"want, time, think, things, talk"
245,"people, don, going, know, really"
246,"want, time, think, things, talk"
247,"people, lot, think, want, things"
248,"lot, don, people, think, just"
249,"english, going, lot, like, things"
250,"english, want, think, time, things"
251,"like, different, lot, want, things"
252,"lot, good, different, things, don"
253,"lot, want, think, time, things"
254,"want, time, think, things, talk"
255,"think, good, different, lot, like"
256,"english, going, want, time, things"
257,"talk, different, want, time, things"
258,"want, time, think, things, talk"
259,"good, think, don, want, things"
260,"good, know, think, lot, really"
261,"want, time, think, things, talk"
262,"think, want, time, things, talk"
263,"know, lot, like, want, things"
264,"good, think, really, don, things"
265,"think, know, don, like, good"
266,"think, say, know, don, things"
267,"english, going, listening, like, things"
268,"want, time, think, things, talk"
269,"want, time, think, things, talk"
270,"like, good, know, lot, don"
271,"want, time, think, things, talk"
272,"english, think, language, talk, different"
273,"english, think, time, want, things"
274,"good, lot, like, want, things"
275,"like, don, english, think, things"
276,"want, time, think, things, talk"
277,"lot, want, think, time, things"
278,"want, time, think, things, talk"
279,"lot, want, think, time, things"
280,"lot, time, think, want, things"
281,"time, like, think, want, things"
282,"good, time, think, want, things"
283,"want, time, think, things, talk"
284,"going, want, think, time, things"
285,"english, different, say, want, things"
286,"want, time, think, things, talk"
287,"like, know, lot, just, think"
288,"want, time, think, things, talk"
289,"know, don, just, people, things"
290,"people, like, good, english, don"
291,"want, time, think, things, talk"
292,"people, like, want, time, things"
293,"good, different, want, time, things"
294,"different, think, time, want, things"
295,"going, don, people, think, like"
296,"time, just, different, say, want"
297,"think, talk, lot, like, things"
298,"know, really, think, want, things"
299,"say, don, want, time, things"
300,"really, think, time, want, things"
301,"right, just, want, time, things"
302,"time, don, think, want, things"
303,"just, things, time, really, think"
304,"think, say, going, know, don"
305,"different, like, going, just, things"
306,"like, think, time, want, things"
307,"want, time, think, things, talk"
308,"want, don, like, time, things"
309,"know, people, want, time, things"
310,"lot, know, don, just, think"
311,"just, lot, like, time, listening"
312,"different, say, going, things, talk"
313,"time, just, think, good, lot"
314,"right, really, want, time, things"
315,"listening, talk, english, want, really"
316,"really, want, think, time, things"
317,"just, really, think, time, good"
318,"right, just, people, want, things"
319,"talk, want, people, think, things"
320,"want, time, think, things, talk"
321,"just, really, right, think, things"
322,"want, time, think, things, talk"
323,"talk, say, things, want, don"
324,"language, english, talk, right, say"
325,"people, language, good, say, going"
326,"language, people, talk, going, things"
327,"want, language, people, time, things"
328,"want, time, think, things, talk"
329,"really, think, right, say, lot"
330,"want, time, think, things, talk"
331,"right, things, just, think, want"
332,"time, want, think, things, talk"
333,"things, think, good, right, time"
334,"language, talk, right, things, lot"
335,"language, want, think, time, things"
336,"things, want, language, good, say"
337,"right, language, think, want, things"
338,"language, talk, want, time, things"
339,"right, think, want, don, talk"
340,"want, time, think, things, talk"
341,"want, time, think, things, talk"
342,"right, want, think, time, things"
343,"english, want, think, time, things"
344,"listening, time, lot, talk, want"
345,"want, time, think, things, talk"
346,"time, listening, talk, know, like"
347,"listening, time, english, going, think"
348,"know, lot, think, talk, like"
349,"different, want, just, like, good"
350,"think, want, time, things, talk"
351,"really, different, say, just, think"
352,"like, just, time, really, good"
353,"just, want, think, time, things"
354,"like, want, think, time, things"
355,"just, really, talk, right, lot"
